# Time	Mean	Std
0.000000000000000000e+00	7.705779413827603008e+00	5.722664925754514242e-02
4.184100418410041482e-03	7.687629966680927573e+00	5.052150923438277624e-02
8.368200836820082963e-03	7.668291936619777260e+00	4.557236848386810035e-02
1.255230125523012184e-02	7.648775974436182068e+00	4.184658191943770034e-02
1.673640167364016593e-02	7.629453884938985020e+00	3.906981242801245424e-02
2.092050209205020828e-02	7.610611410983057823e+00	3.685920572444364302e-02
2.510460251046024716e-02	7.592067585527851215e+00	3.524667716167240866e-02
2.928870292887028950e-02	7.573683037801104412e+00	3.407565805202698167e-02
3.347280334728033185e-02	7.555337943083531904e+00	3.317932061947444222e-02
3.765690376569037073e-02	7.536982627699184256e+00	3.252778266112188454e-02
4.184100418410041655e-02	7.518575221932818131e+00	3.210655883581609027e-02
4.602510460251046237e-02	7.500221938090217755e+00	3.190436854158637536e-02
5.020920502092049431e-02	7.481777585653021312e+00	3.181826056373680822e-02
5.439330543933054013e-02	7.463208032933030367e+00	3.182635848364875203e-02
5.857740585774058595e-02	7.444600659282886390e+00	3.207219302907302061e-02
6.276150627615062483e-02	7.425800391358647445e+00	3.246816448925635840e-02
6.694560669456066371e-02	7.406674790528388286e+00	3.305640170755101692e-02
7.112970711297070259e-02	7.387386887366448107e+00	3.368539282349598818e-02
7.531380753138074147e-02	7.367928521016310128e+00	3.420960069870992992e-02
7.949790794979078035e-02	7.348244292623092200e+00	3.475859248773555815e-02
8.368200836820083310e-02	7.328458220592668937e+00	3.523181489588317339e-02
8.786610878661087198e-02	7.308584478836904985e+00	3.566457921991472019e-02
9.205020920502092474e-02	7.288516618645152434e+00	3.623916379602853260e-02
9.623430962343096362e-02	7.268356503702344540e+00	3.685397512160375894e-02
1.004184100418409886e-01	7.247840626594529212e+00	3.759444046400996220e-02
1.046025104602510414e-01	7.227002680460917539e+00	3.841140825262186892e-02
1.087866108786610803e-01	7.205825234319976680e+00	3.921778836054128081e-02
1.129707112970711330e-01	7.184531835445151948e+00	4.008506307657638129e-02
1.171548117154811719e-01	7.163214626155239628e+00	4.097953214745037737e-02
1.213389121338911830e-01	7.141631761408242518e+00	4.185700975719648664e-02
1.255230125523012497e-01	7.120006189951355147e+00	4.244111605097992956e-02
1.297071129707113024e-01	7.098137538650766132e+00	4.301341375071884854e-02
1.338912133891213274e-01	7.076050950623140601e+00	4.364225282323612454e-02
1.380753138075313524e-01	7.054048629368111278e+00	4.450580777092870421e-02
1.422594142259413774e-01	7.031892883017818008e+00	4.543279859206036247e-02
1.464435146443514579e-01	7.009631428115249641e+00	4.643918879629913704e-02
1.506276150627614829e-01	6.987038888650506152e+00	4.743462283181593825e-02
1.548117154811715357e-01	6.964224463261420084e+00	4.830768512962140687e-02
1.589958158995815607e-01	6.941185950688072204e+00	4.906972574581984492e-02
1.631799163179916135e-01	6.918001266159562235e+00	5.011824786922179642e-02
1.673640167364016662e-01	6.894558075252199991e+00	5.121275969286860630e-02
1.715481171548116912e-01	6.871133094613516512e+00	5.225589434006353701e-02
1.757322175732217440e-01	6.847366518200918684e+00	5.312455942633968753e-02
1.799163179916317690e-01	6.823401398202065593e+00	5.397914007586247787e-02
1.841004184100418495e-01	6.799331906531209668e+00	5.468625669275217066e-02
1.882845188284518745e-01	6.775081503182084575e+00	5.541483457579245847e-02
1.924686192468618995e-01	6.750735895615745719e+00	5.616657649545528375e-02
1.966527196652719522e-01	6.726208133911567799e+00	5.680441588205379505e-02
2.008368200836819772e-01	6.701474468497324644e+00	5.739634472114378549e-02
2.050209205020920578e-01	6.676533048333916476e+00	5.797734520142304449e-02
2.092050209205020828e-01	6.651509751672514348e+00	5.845436088826785892e-02
2.133891213389121078e-01	6.626239885270423180e+00	5.897065938742396957e-02
2.175732217573221605e-01	6.600768138902984639e+00	5.946851759562954420e-02
2.217573221757321855e-01	6.575075929690345156e+00	5.994929203364089687e-02
2.259414225941422660e-01	6.549260559443381702e+00	6.043790352623777673e-02
2.301255230125522910e-01	6.523114025809303662e+00	6.087947041014155070e-02
2.343096234309623160e-01	6.496827925406702064e+00	6.133345291727294174e-02
2.384937238493723688e-01	6.470388076695485324e+00	6.177338575535859522e-02
2.426778242677823938e-01	6.443958157778932438e+00	6.212986196636791775e-02
2.468619246861924743e-01	6.417498632552725013e+00	6.238514274638651963e-02
2.510460251046024993e-01	6.390873507028982381e+00	6.275088858127994551e-02
2.552301255230124966e-01	6.364424500111537597e+00	6.304510943605005913e-02
2.594142259414226048e-01	6.337953124365926172e+00	6.333256170329389090e-02
2.635983263598326021e-01	6.311249364036480181e+00	6.385740197930016293e-02
2.677824267782426548e-01	6.284229545481983870e+00	6.433168522138631162e-02
2.719665271966527076e-01	6.257006049799619163e+00	6.491115069878002075e-02
2.761506276150627048e-01	6.229483849228174108e+00	6.557169380554095373e-02
2.803347280334728131e-01	6.201799453754007985e+00	6.628925317464176570e-02
2.845188284518828103e-01	6.174212590084013463e+00	6.691576721456417298e-02
2.887029288702928631e-01	6.146420261710495048e+00	6.754463425858368841e-02
2.928870292887029159e-01	6.118331652037981350e+00	6.813419116467070435e-02
2.970711297071129131e-01	6.089967577853232505e+00	6.866672090246546400e-02
3.012552301255229659e-01	6.061291575450886704e+00	6.921730619756553959e-02
3.054393305439330186e-01	6.032291678152323477e+00	6.971890107809344816e-02
3.096234309623430714e-01	6.003032885943769159e+00	7.024618943114342706e-02
3.138075313807531241e-01	5.973526566922134684e+00	7.072286644429150171e-02
3.179916317991631214e-01	5.943844594712455631e+00	7.113091261793508258e-02
3.221757322175731741e-01	5.913919802733388131e+00	7.154204225809734918e-02
3.263598326359832269e-01	5.883817034591926287e+00	7.193652677625031466e-02
3.305439330543932797e-01	5.853492001020536684e+00	7.234104073335899387e-02
3.347280334728033324e-01	5.822988575309241632e+00	7.279933867164908867e-02
3.389121338912133297e-01	5.792322936504512576e+00	7.321754008180472728e-02
3.430962343096233824e-01	5.761508269208073685e+00	7.362680551751009383e-02
3.472803347280334907e-01	5.730478752459450931e+00	7.403593424453147609e-02
3.514644351464434879e-01	5.699255253397045529e+00	7.443889203239829888e-02
3.556485355648535407e-01	5.667900539760893253e+00	7.483067537044060802e-02
3.598326359832635379e-01	5.636337413020246601e+00	7.517031625119141580e-02
3.640167364016735907e-01	5.604670581179258981e+00	7.550022567533311302e-02
3.682008368200836990e-01	5.572839035004715669e+00	7.581765972838147571e-02
3.723849372384936962e-01	5.540769794655144409e+00	7.615066416557265960e-02
3.765690376569037490e-01	5.508533820340314691e+00	7.649014113154177508e-02
3.807531380753137462e-01	5.476175235012903819e+00	7.672004486568102799e-02
3.849372384937237990e-01	5.443620217031806874e+00	7.696227409343274484e-02
3.891213389121339072e-01	5.410935382848429676e+00	7.716381914886184801e-02
3.933054393305439045e-01	5.378098892782842810e+00	7.730609762676352026e-02
3.974895397489539572e-01	5.345040365172741836e+00	7.747821426534080846e-02
4.016736401673639545e-01	5.311795590972523406e+00	7.768269345882067300e-02
4.058577405857740072e-01	5.278321273740863795e+00	7.795904579339393847e-02
4.100418410041841155e-01	5.244579042659556656e+00	7.826813201066712411e-02
4.142259414225941128e-01	5.210608483404850944e+00	7.860944145151858853e-02
4.184100418410041655e-01	5.176369563987782918e+00	7.894233170764899943e-02
4.225941422594141628e-01	5.141877251728975473e+00	7.928769032962545982e-02
4.267782426778242155e-01	5.107200981306217358e+00	7.959335184681828879e-02
4.309623430962343238e-01	5.072265969011019671e+00	7.983763545300838482e-02
4.351464435146443210e-01	5.037121358537380189e+00	8.005375137226054816e-02
4.393305439330543738e-01	5.001759670121973755e+00	8.029103450068501846e-02
4.435146443514643710e-01	4.966169817529586084e+00	8.051164479757745573e-02
4.476987447698744238e-01	4.930304148480855631e+00	8.080658619235629725e-02
4.518828451882845321e-01	4.894202565680768835e+00	8.113140730936863054e-02
4.560669456066945293e-01	4.857878654154642817e+00	8.148398273600737651e-02
4.602510460251045821e-01	4.821268221597470038e+00	8.186345089628813132e-02
4.644351464435145793e-01	4.784355518083518000e+00	8.227508952106379891e-02
4.686192468619246321e-01	4.747186563824612904e+00	8.272257080375280958e-02
4.728033472803347403e-01	4.709848748647585737e+00	8.323503213002604595e-02
4.769874476987447376e-01	4.672761364847724863e+00	8.373460196971434233e-02
4.811715481171547903e-01	4.636098603939923457e+00	8.413421223769450286e-02
4.853556485355647876e-01	4.601270978728839722e+00	8.488174107254634060e-02
4.895397489539748404e-01	4.568353902889064067e+00	8.633353973377227986e-02
4.937238493723849486e-01	4.536605348017584305e+00	8.724444567138132933e-02
4.979079497907949459e-01	4.505079023846141340e+00	8.888144859725519153e-02
5.020920502092049986e-01	4.473698134100777324e+00	9.095099377699712717e-02
5.062761506276149959e-01	4.442390301495690252e+00	9.362027492155329533e-02
5.104602510460249931e-01	4.410751858672685266e+00	9.609740947967825020e-02
5.146443514644351014e-01	4.378648746368543065e+00	9.883031217153835646e-02
5.188284518828452097e-01	4.345761528702859700e+00	1.015162623155862615e-01
5.230125523012552069e-01	4.312218425281596268e+00	1.041508309087419010e-01
5.271966527196652041e-01	4.278160265993288469e+00	1.064677146051247192e-01
5.313807531380752014e-01	4.243430364350612827e+00	1.087162322356370336e-01
5.355648535564853097e-01	4.207578841463108787e+00	1.112940300206346628e-01
5.397489539748954179e-01	4.171087984068546639e+00	1.137542321569633141e-01
5.439330543933054152e-01	4.133949279423239531e+00	1.160613107945996647e-01
5.481171548117154124e-01	4.096168853531354515e+00	1.182426244309564417e-01
5.523012552301254097e-01	4.057745231567282396e+00	1.203104116316821848e-01
5.564853556485355179e-01	4.018670546231799534e+00	1.224765373621737180e-01
5.606694560669456262e-01	3.978641793078881328e+00	1.252324668927753126e-01
5.648535564853556235e-01	3.937844586929126756e+00	1.282098581051329123e-01
5.690376569037656207e-01	3.896531644765404589e+00	1.311068936647481475e-01
5.732217573221756179e-01	3.854514469704434010e+00	1.346583561698740661e-01
5.774058577405857262e-01	3.812100905968190734e+00	1.383754708000845546e-01
5.815899581589957235e-01	3.769254236377073575e+00	1.420585283635833473e-01
5.857740585774058317e-01	3.724998477052350321e+00	1.463014392126866514e-01
5.899581589958158290e-01	3.680096061280698994e+00	1.504502228481489623e-01
5.941422594142258262e-01	3.634162206745548129e+00	1.553477901514070947e-01
5.983263598326359345e-01	3.587530593608012186e+00	1.605802682383631885e-01
6.025104602510459317e-01	3.540353520353674899e+00	1.654356145078651474e-01
6.066945606694560400e-01	3.492231131544714540e+00	1.706485591020697745e-01
6.108786610878660372e-01	3.443291581691459768e+00	1.761467115791217342e-01
6.150627615062760345e-01	3.393327049406449802e+00	1.825995252898460208e-01
6.192468619246861428e-01	3.342480830541639580e+00	1.895025685379781721e-01
6.234309623430961400e-01	3.291974320736025472e+00	1.949880198085339467e-01
6.276150627615062483e-01	3.240670690075099447e+00	2.009207812263686110e-01
6.317991631799162455e-01	3.188322035549231881e+00	2.063364376816613777e-01
6.359832635983262428e-01	3.135001497075021959e+00	2.112704923804773205e-01
6.401673640167363510e-01	3.081042204089234016e+00	2.154514082798335839e-01
6.443514644351463483e-01	3.024927452870363798e+00	2.198375635166503750e-01
6.485355648535564566e-01	2.968038743924024558e+00	2.223423179064086541e-01
6.527196652719664538e-01	2.910892518227021331e+00	2.233169328612181481e-01
6.569037656903764510e-01	2.852613420387567267e+00	2.237994760328936572e-01
6.610878661087865593e-01	2.793286155613090127e+00	2.232049045082908911e-01
6.652719665271965566e-01	2.732702313742170652e+00	2.196334734755769902e-01
6.694560669456066648e-01	2.669957833599842179e+00	2.163962708850636907e-01
6.736401673640167731e-01	2.604355940589348606e+00	2.125472005508601825e-01
6.778242677824266593e-01	2.534311603951356240e+00	2.085138337868925329e-01
6.820083682008367676e-01	2.458771662059227925e+00	2.024014762490628505e-01
6.861924686192467648e-01	2.381743475204915139e+00	1.961364235453433580e-01
6.903765690376568731e-01	2.302873424769486643e+00	1.899593955770524367e-01
6.945606694560669814e-01	2.222081266929405885e+00	1.837393052275923810e-01
6.987447698744768676e-01	2.139948250077642111e+00	1.778111358066632453e-01
7.029288702928869759e-01	2.059595576528429728e+00	1.729627688096952998e-01
7.071129707112969731e-01	1.982408955521094196e+00	1.683010989960468384e-01
7.112970711297070814e-01	1.909742568125818218e+00	1.669851361102578369e-01
7.154811715481171897e-01	1.842430725398390035e+00	1.664769454528543247e-01
7.196652719665270759e-01	1.782874503336801419e+00	1.654373221446385489e-01
7.238493723849371841e-01	1.731093109217141546e+00	1.641643968052144131e-01
7.280334728033472924e-01	1.685295835942040243e+00	1.613273905646848139e-01
7.322175732217572897e-01	1.644844051725391720e+00	1.580014840007099020e-01
7.364016736401673979e-01	1.609795673840976660e+00	1.531900566148502452e-01
7.405857740585772842e-01	1.578971512236827079e+00	1.455099228773272524e-01
7.447698744769873924e-01	1.549829311465096060e+00	1.367944754275176034e-01
7.489539748953975007e-01	1.522997683470227681e+00	1.276147342629791459e-01
7.531380753138074979e-01	1.496524635995837516e+00	1.185392807895049583e-01
7.573221757322176062e-01	1.470425658576931749e+00	1.094010004147087517e-01
7.615062761506274924e-01	1.447229051766961927e+00	1.006974553835428554e-01
7.656903765690376007e-01	1.425528173762950823e+00	9.213448594927364788e-02
7.698744769874477090e-01	1.406252253553251341e+00	8.372066810860930020e-02
7.740585774058577062e-01	1.387658798098400537e+00	7.349067366117140176e-02
7.782426778242678145e-01	1.370043409573964199e+00	6.361895995508713708e-02
7.824267782426777007e-01	1.355393168913206381e+00	5.480343639056781818e-02
7.866108786610878090e-01	1.343416816579051432e+00	4.751086096746934273e-02
7.907949790794979172e-01	1.332366780953579077e+00	4.088605739861328470e-02
7.949790794979079145e-01	1.322898902370769791e+00	3.713861856263907246e-02
7.991631799163180228e-01	1.316407952175896456e+00	3.448599483829562634e-02
8.033472803347279090e-01	1.310666795098989645e+00	3.197092125661035733e-02
8.075313807531380172e-01	1.305608078908888636e+00	3.046461568864364949e-02
8.117154811715481255e-01	1.301589973961401636e+00	2.949933650713183753e-02
8.158995815899581228e-01	1.297620808452567998e+00	2.818104907399979556e-02
8.200836820083682310e-01	1.293856612467910061e+00	2.739030442708396268e-02
8.242677824267781173e-01	1.291897934773639678e+00	2.719350155649824172e-02
8.284518828451882255e-01	1.290133627634637126e+00	2.683419937343224648e-02
8.326359832635983338e-01	1.288148437224602150e+00	2.678611799461891665e-02
8.368200836820083310e-01	1.286220087287141212e+00	2.670755742628422996e-02
8.410041841004184393e-01	1.283664788230842069e+00	2.561723701419186747e-02
8.451882845188283255e-01	1.281785619393649878e+00	2.511442653668925079e-02
8.493723849372384338e-01	1.279938017461951016e+00	2.496832267742932904e-02
8.535564853556485421e-01	1.278485834408958022e+00	2.490122461652940697e-02
8.577405857740585393e-01	1.277675486168252661e+00	2.491811266176220674e-02
8.619246861924686476e-01	1.276875711021303372e+00	2.452917852087075842e-02
8.661087866108785338e-01	1.275439728134070139e+00	2.258040835535740296e-02
8.702928870292886421e-01	1.274887322854338256e+00	2.229440806326804525e-02
8.744769874476987503e-01	1.274087360457889950e+00	2.106984379874653895e-02
8.786610878661087476e-01	1.273075063782439953e+00	1.973746527325153863e-02
8.828451882845188559e-01	1.272254362764220437e+00	1.859213979780851428e-02
8.870292887029287421e-01	1.272173502619801333e+00	1.803956421004513158e-02
8.912133891213388504e-01	1.271766072628679689e+00	1.724348474524895966e-02
8.953974895397489586e-01	1.270657180314515466e+00	1.646126190537007192e-02
8.995815899581589559e-01	1.269905262801961809e+00	1.595290689762592432e-02
9.037656903765690641e-01	1.269135358394614110e+00	1.529302084867262268e-02
9.079497907949789504e-01	1.268072048380096906e+00	1.414530846606047720e-02
9.121338912133890586e-01	1.267505531428828158e+00	1.365070053691273474e-02
9.163179916317991669e-01	1.266753976547003058e+00	1.296437976840436775e-02
9.205020920502091641e-01	1.266246396002155938e+00	1.266155750232912831e-02
9.246861924686192724e-01	1.266037206301576790e+00	1.249897317243032352e-02
9.288702928870291586e-01	1.265642369300828962e+00	1.225873369701390748e-02
9.330543933054392669e-01	1.265408606224111443e+00	1.246062404203923668e-02
9.372384937238493752e-01	1.264381164385928846e+00	1.219645450028997852e-02
9.414225941422593724e-01	1.264001282726493480e+00	1.217247935284294230e-02
9.456066945606694807e-01	1.263520826211157466e+00	1.201838939951683886e-02
9.497907949790793669e-01	1.263202306440745604e+00	1.193438367446805065e-02
9.539748953974894752e-01	1.263048428068243245e+00	1.175045612441229063e-02
9.581589958158995834e-01	1.262996363367035135e+00	1.161309309064978423e-02
9.623430962343095807e-01	1.262730140938065571e+00	1.171315285030542948e-02
9.665271966527196890e-01	1.262427339028780127e+00	1.150623748099986743e-02
9.707112970711295752e-01	1.262077501944025348e+00	1.148113750764083625e-02
9.748953974895396835e-01	1.261688147261494031e+00	1.109820764077453642e-02
9.790794979079497917e-01	1.261553530731078121e+00	1.148138986985816797e-02
9.832635983263597890e-01	1.261160894006136290e+00	1.140076979422753080e-02
9.874476987447698972e-01	1.261306844029864260e+00	1.123851859758943916e-02
9.916317991631797835e-01	1.261145808097315024e+00	1.125792655891928382e-02
9.958158995815898917e-01	1.260800081881036316e+00	1.142304951357077901e-02
1.000000000000000000e+00	1.260650091261378725e+00	1.119958242857801121e-02
